chapter_id,title_en,title_jp,title_romaji,arc,volume,viz_release_date,wsj_release_date_jp,wsj_issue,pages,summary_short_paraphrase,beats_predicate,characters_core,locations_core,threads_opened,threads_closed,source_url,source_attribution_title,source_attribution_author,source_license
1,Romance Dawn,ROMANCE DAWN —冒険の夜明け—,,,1,,"July 19, 1997 [ref]",1997 Issue 34,53,"The main character of the series, Monkey D. Luffy, is introduced as a child, with his role model, Shanks. After Shanks comes into conflict with Higuma, the mountain bandit, at a bar, it is revealed that Luffy accidentally ate a Devil Fruit: the Gomu Gomu no Mi.",[],"['Monkey D. Luffy', 'Shanks', 'Higuma', 'Devil Fruit', 'Gomu Gomu no Mi', 'Sea King', 'scares away the Sea King', 'Pirate King']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_1,Chapter 1 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
2,"They Call Him ""Straw Hat Luffy""","その男""麦わらのルフィ""",,,1,,"July 28, 1997 [ref]",1997 Issue 35,23,"Luffy ends up on an island that the pirate Iron-Mace Alvida is using as a base. There, he meets Koby, a boy who has been forced to be Alvida's servant despite his desires to become a Marine. Luffy helps Koby get the courage to stand up to Alvida.",[],"['Luffy', 'island', 'Iron-Mace Alvida', 'Koby', 'Marine']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_2,Chapter 2 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
3,Enter Zolo–Pirate Hunter,"”海賊狩りのゾロ""登場",,,1,,"August 4, 1997 [ref]",1997 Issue 36,21,"Luffy and Koby arrive at an island with a Marine base, where a man named Roronoa Zoro is being held prisoner. Despite the fact that Zoro is seen as being a demon, Luffy is insistent on having him on his crew, and goes to meet him. There, he and Koby meet Rika, a young girl that Zoro protected, causing him to be imprisoned.",[],"['Luffy', 'Koby', 'Roronoa Zoro', 'Rika']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_3,Chapter 3 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
4,The Great Captain Morgan,海軍大佐”斧手のモーガン”,,,1,,"August 11, 1997 [ref]",1997 Issue 37-38,19,"Luffy again goes to see Zoro to invite him to his crew, and Zoro refuses. Luffy decides that if he gets Zoro's swords back from Helmeppo, then he can make Zoro join before he gives them back, so he rushes off to retrieve them. Meanwhile, Morgan, the captain of the Marine base, is having his men lift a giant statue of himself, which Luffy inadvertently destroys while trying to get the swords back.",[],"['Luffy', 'Zoro', 'Helmeppo', 'Morgan']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_4,Chapter 4 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
5,The King of the Pirates and the Master Swordsman,海賊王と大剣豪,,,1,,"August 25, 1997 [ref]",1997 Issue 39,19,"Morgan and his soldiers go to kill Zoro and Koby, while Luffy retrieves Zoro's swords. Zoro is thinking about how he cannot die at a place like this, remembering the promise he made to his childhood friend, Kuina. Just before Zoro and Koby are shot, however, Luffy gets in the way, protecting the pair from all the bullets.",[],"['Morgan', 'soldiers', 'Zoro', 'Koby', 'Luffy', 'Kuina']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_5,Chapter 5 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
6,Number One,1人目,,,1,,"September 1, 1997 [ref]",1997 Issue 40,23,"Luffy finally manages to free Zoro, and the two take out all of Morgan 's soldiers. Luffy fights with Morgan, but is forced to stop when Helmeppo threatens to shoot Koby. While Luffy saves Koby by taking out Helmeppo, Morgan takes the chance to attempt to kill him, but is stopped by Zoro.",[],"['Luffy', 'Zoro', 'Morgan', 'soldiers', 'Helmeppo', 'Koby']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_6,Chapter 6 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
7,Friends,友達,,,1,,"September 8, 1997 [ref]",1997 Issue 41,20,"Morgan 's Marines are grateful to Luffy for defeating Morgan and ridding them of his tyranny, and allow Luffy and Zoro to leave peacefully. Koby, however, does not accompany them, causing the soldiers to ask if he is one of them or not. To prove that Koby is not their friend, Luffy provokes him until he punches him; he is then allowed to stay.",[],"['Morgan', 'Marines', 'Luffy', 'Zoro', 'Koby']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_7,Chapter 7 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
8,Nami,ナミ登場,,,1,,"September 15, 1997 [ref]",1997 Issue 42,19,"In order to get food for himself and Zoro, Luffy tries to catch a bird, but it is far larger than him, and he ends up being brought to an island. Zoro chases after him, and picks up some of Buggy the Clown 's pirates along the way. Meanwhile, Luffy meets a girl named Nami, who was running away from some pirates.",[],"['Zoro', 'Luffy', 'island', 'Buggy the Clown', 'Nami']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_8,Chapter 8 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
9,Femme Fatale,魔性の女,,,2,,"September 22, 1997 [ref]",1997 Issue 43,21,"Nami attempts to team up with Luffy. The Buggy Pirates try to find the map she stole, but when they return to Buggy empty-handed, he shoots one with his cannon. Nami takes Luffy into a house and she explains to him the situation and who Buggy is.",[],"['Nami', 'Luffy', 'Buggy Pirates', 'Buggy', 'straw hat', 'Zoro', 'village']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_9,Chapter 9 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
10,Incident at the Tavern,酒場の一件,,,2,,"September 29, 1997 [ref]",1997 Issue 44,23,"Nami 's plan goes wrong when Buggy appears behind her and tells her to kill Luffy. She hesitates and the Buggy Cannon is accidentally lit. She stops the cannon before it fires, and Zoro comes in and chops Buggy up into little pieces.",[],"['Nami', 'Buggy', 'Luffy', 'Zoro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_10,Chapter 10 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
